State,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Supply Volume (MT),Demand Volume (MT),Market Insights,Sowing Area (Hectares),Production Estimate (MT),Stock Level (MT),Stock Released (MT),Inflation Rate (%),Input Type,Input Cost (INR),Seasonality Impact,Intervention Type,Impact on Price (INR/kg),ARIMA_p,ARIMA_d,ARIMA_q,Forecasted Price (INR/kg)
Kerala,Ernakulam,Perumbavoor,Cucumbar(Kheera),Cucumbar,FAQ,2600,3600,3000,512,569,Stable demand,3249,3844,5559,1706,4.274961982,Labor,990,Medium,Price Cap,4.265281252,1,0,2,2998.089146
Kerala,Ernakulam,Perumbavoor,Drumstick,Drumstick,FAQ,8000,9000,8500,411,355,Government intervention expected,3254,4254,5939,1464,6.105181002,Seed,757,High,No Intervention,7.584225415,3,1,1,8501.602241
Kerala,Ernakulam,Perumbavoor,Elephant Yam (Suran),Other,FAQ,2800,3800,3000,525,527,Low supply affecting prices,1414,3438,6975,1397,5.237912465,Seed,772,Medium,Stock Release,2.340091113,2,1,1,3000.139832
Kerala,Ernakulam,Perumbavoor,Field Pea,Field Pea,FAQ,4700,5700,5000,452,636,Low supply affecting prices,3268,1043,4098,772,5.409303262,Fertilizer,746,High,No Intervention,-1.492002924,3,1,1,5000.922145
Kerala,Ernakulam,Perumbavoor,Ginger(Dry),Dry,FAQ,24000,25000,24500,730,448,High demand due to festival,4433,1900,7468,872,7.713035699,Fertilizer,897,Medium,Price Cap,-7.76221314,3,0,1,24499.13148
Kerala,Ernakulam,Perumbavoor,Ginger(Green),Green Ginger,FAQ,15000,16000,15500,788,345,Government intervention expected,3805,2723,7951,1885,6.530801616,Seed,176,Medium,Stock Release,5.784186118,2,0,2,15499.45069
Kerala,Ernakulam,Perumbavoor,Green Chilli,Green Chilly,FAQ,8200,9200,8500,682,443,Government intervention expected,2104,4973,4170,1399,4.309498678,Labor,180,Medium,No Intervention,-7.434130151,2,0,2,8503.681877
Kerala,Ernakulam,Perumbavoor,Little gourd (Kundru),Other,FAQ,2500,3500,3000,539,537,Stable demand,1762,1481,4147,700,5.519609089,Fertilizer,880,Low,Price Cap,4.527317224,1,1,2,2999.758753
Kerala,Ernakulam,Perumbavoor,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2700,3700,3000,789,571,Stable demand,1562,3036,6170,1715,5.333364095,Seed,880,Low,No Intervention,0.5584989156,1,0,1,3002.938888
Kerala,Ernakulam,Perumbavoor,Onion,Onion,FAQ,1800,2800,2000,496,419,Stable demand,4356,2286,4111,1864,6.975263034,Fertilizer,653,Low,No Intervention,-2.283281505,1,1,1,1998.950246
Kerala,Ernakulam,Perumbavoor,Pineapple,Pine Apple,Medium,3500,4500,4000,404,639,Government intervention expected,3416,2197,5022,1822,7.16677557,Labor,735,Low,Stock Release,2.259727725,3,1,2,4002.005321
Kerala,Ernakulam,Perumbavoor,Potato,Potato,FAQ,2200,3200,2500,456,519,Stable demand,2515,2464,7059,639,4.417214114,Fertilizer,841,Low,Stock Release,5.447121721,3,1,1,2497.328952
Kerala,Ernakulam,Perumbavoor,Pumpkin,Pumpkin,FAQ,2000,3000,2500,733,307,Stable demand,2934,1565,7201,805,7.10575727,Seed,968,Low,No Intervention,8.822792369,3,0,2,2504.17019
Kerala,Ernakulam,Perumbavoor,Snakeguard,Snakeguard,FAQ,2400,3400,2700,468,643,Stable demand,3943,3267,4067,1719,3.897507026,Fertilizer,301,Medium,Price Cap,-4.706062343,2,0,1,2704.672763
Kerala,Ernakulam,Perumbavoor,Tapioca,Tapioca,FAQ,2000,3000,2500,517,686,High demand due to festival,2369,4629,7930,1584,6.813852773,Labor,945,High,Stock Release,8.942603204,3,0,1,2504.013244
Kerala,Ernakulam,Perumbavoor,Tomato,Tomato,FAQ,9500,10500,10000,775,574,Low supply affecting prices,1203,4465,4827,859,4.243922719,Seed,546,Low,No Intervention,9.21896092,2,0,1,9998.464174
Kerala,Ernakulam,Thrippunithura,Amphophalus,Amphophalus,FAQ,6000,7000,6200,458,652,Low supply affecting prices,4096,1771,5752,806,4.489655787,Seed,206,Low,No Intervention,6.27261029,3,0,1,6197.764901
Kerala,Ernakulam,Thrippunithura,Ashgourd,Ashgourd,FAQ,2600,4000,2800,432,365,Government intervention expected,4004,2218,7971,832,7.262339201,Seed,391,Medium,Stock Release,7.628743499,3,0,2,2796.824396
Kerala,Ernakulam,Thrippunithura,Banana,Palayamthodan,Medium,3000,4000,3200,717,378,Government intervention expected,2576,3456,6939,1606,5.100374325,Seed,902,Low,Stock Release,3.848550274,2,1,1,3203.729943
Kerala,Ernakulam,Thrippunithura,Banana,Poovan,Medium,5000,6500,5200,449,385,High demand due to festival,1068,1470,5631,833,7.952829124,Labor,785,Medium,No Intervention,-9.218055601,2,1,2,5196.186164
Kerala,Ernakulam,Thrippunithura,Banana - Green,Banana - Green,FAQ,5400,6500,5600,767,423,Low supply affecting prices,1515,2370,7728,1016,3.75971515,Seed,411,Low,Stock Release,1.501570894,2,0,1,5601.423303
Kerala,Ernakulam,Thrippunithura,Beetroot,Beetroot,FAQ,5500,6700,5700,418,501,Stable demand,4563,4533,7968,1230,5.31674519,Labor,698,High,No Intervention,4.944091259,1,1,1,5698.31464
Kerala,Ernakulam,Thrippunithura,Bhindi(Ladies Finger),Bhindi,FAQ,4200,6000,4500,613,449,Stable demand,3287,4132,7616,1423,6.662251655,Labor,616,Low,Price Cap,8.834062694,1,1,2,4496.87918
Kerala,Ernakulam,Thrippunithura,Bitter gourd,Bitter Gourd,FAQ,4600,5500,4800,596,345,Government intervention expected,1360,3213,5309,1265,3.02683529,Fertilizer,783,Low,Stock Release,1.40903694,3,1,1,4796.844853
Kerala,Ernakulam,Thrippunithura,Bottle gourd,Bottle Gourd,FAQ,4000,5000,4200,778,412,Low supply affecting prices,2464,1671,7076,1997,3.759276391,Fertilizer,732,Medium,Stock Release,5.884013565,3,0,2,4203.709701
Kerala,Ernakulam,Thrippunithura,Brinjal,Brinjal,FAQ,4000,6000,4500,446,390,Government intervention expected,2054,2174,7189,1917,3.101783747,Seed,767,Low,No Intervention,4.100774351,3,0,1,4503.598205
Kerala,Ernakulam,Thrippunithura,Cabbage,Cabbage,FAQ,3500,4200,3700,566,440,Government intervention expected,2922,1110,7723,1284,7.964389327,Seed,698,Medium,Stock Release,-4.383942229,1,0,1,3697.720288
Kerala,Ernakulam,Thrippunithura,Capsicum,Capsicum,FAQ,9000,12000,10000,688,588,Stable demand,2652,4559,6277,1903,6.803123312,Labor,525,High,Price Cap,-6.905438497,3,1,2,9995.337669
Kerala,Ernakulam,Thrippunithura,Carrot,Carrot,FAQ,6800,8000,7000,540,688,Stable demand,1706,3596,4159,520,4.867795489,Fertilizer,709,Low,No Intervention,5.018106574,2,0,1,7003.690868
Kerala,Ernakulam,Thrippunithura,Cauliflower,Cauliflower,FAQ,6000,6800,6200,483,517,Low supply affecting prices,2625,2026,7365,1378,3.781424673,Seed,514,Medium,Price Cap,-5.324632776,2,1,2,6195.573253
Kerala,Ernakulam,Thrippunithura,Cluster beans,Cluster Beans,FAQ,4400,6000,4600,581,376,Government intervention expected,3737,4554,5784,676,3.451916214,Seed,234,High,Price Cap,-5.106168907,1,0,1,4595.847202
Kerala,Ernakulam,Thrippunithura,Colacasia,Other,FAQ,5000,8000,6000,790,676,High demand due to festival,1656,4084,5808,1886,5.659536003,Labor,618,High,Price Cap,2.878924774,2,1,1,6003.219207
Kerala,Ernakulam,Thrippunithura,Cowpea(Veg),Cowpea (Veg),FAQ,4500,5500,4700,478,683,Low supply affecting prices,4785,4233,6233,521,7.879456591,Fertilizer,871,Medium,Price Cap,5.781369281,2,0,2,4703.172196
Kerala,Ernakulam,Thrippunithura,Cucumbar(Kheera),Cucumbar,FAQ,2400,3000,2600,614,633,Government intervention expected,2345,1343,5013,1336,6.373054723,Seed,463,Medium,No Intervention,1.646641857,3,1,2,2597.024897
Kerala,Ernakulam,Thrippunithura,Drumstick,Drumstick,FAQ,4600,6500,4800,413,451,Low supply affecting prices,1343,2472,4876,1459,4.825691841,Seed,483,Low,Stock Release,7.699663078,2,1,1,4795.382183
Kerala,Ernakulam,Thrippunithura,Ginger(Green),Green Ginger,FAQ,26500,28000,27000,614,622,Low supply affecting prices,4786,3379,4551,1047,5.504254866,Seed,131,High,Price Cap,-5.771134615,2,1,2,26995.62982
Kerala,Ernakulam,Thrippunithura,Green Chilli,Green Chilly,FAQ,9000,16000,10000,527,538,Low supply affecting prices,1535,3311,7295,749,7.99451684,Seed,639,High,Price Cap,-4.951711409,1,0,1,9999.533892
Kerala,Ernakulam,Thrippunithura,Indian Beans (Seam),Other,FAQ,8500,9500,8700,709,414,High demand due to festival,1354,3130,5175,1160,5.593831144,Seed,871,Medium,No Intervention,2.739110083,2,0,2,8699.182346
Kerala,Ernakulam,Thrippunithura,Leafy Vegetable,Other,FAQ,4000,7000,5000,647,618,High demand due to festival,4542,1776,5163,1451,7.821007429,Seed,586,High,Price Cap,6.587363692,2,1,2,4996.82289
Kerala,Ernakulam,Thrippunithura,Lemon,Other,FAQ,5000,6000,5200,428,668,Stable demand,1927,3971,5390,1596,3.081808594,Fertilizer,855,Medium,Price Cap,0.7870360336,3,0,1,5204.090403
Kerala,Ernakulam,Thrippunithura,Little gourd (Kundru),Other,FAQ,3600,5000,3800,679,393,Stable demand,1982,3381,5151,1614,6.604815641,Labor,464,Low,Price Cap,-9.792368534,3,0,2,3800.524092
Kerala,Ernakulam,Thrippunithura,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,3500,5000,3700,737,347,Government intervention expected,3017,2403,7422,1699,6.135807246,Labor,363,Medium,Price Cap,3.538862584,3,0,1,3703.073389
Kerala,Ernakulam,Thrippunithura,Onion,Big,FAQ,2600,3000,2600,718,490,Low supply affecting prices,3152,4290,6194,625,6.426649292,Labor,241,Low,Stock Release,6.27164866,1,0,2,2596.03726
Kerala,Ernakulam,Thrippunithura,Pineapple,Pine Apple,Medium,4500,5000,4700,601,311,Government intervention expected,4858,1657,5308,1727,5.852835446,Seed,129,Medium,Price Cap,-4.469127442,3,1,1,4704.734585
Kerala,Ernakulam,Thrippunithura,Potato,Potato,FAQ,3000,4000,3200,760,455,Stable demand,2345,2833,5492,1769,3.220883881,Labor,998,Low,No Intervention,-8.916035422,2,1,1,3203.097376
Kerala,Ernakulam,Thrippunithura,Pumpkin,Pumpkin,FAQ,2800,4000,3000,456,471,High demand due to festival,2595,2832,5241,1110,3.747819677,Fertilizer,229,High,Stock Release,0.3590395622,1,1,1,2997.87824
Kerala,Ernakulam,Thrippunithura,Snakeguard,Snakeguard,FAQ,3800,5000,4000,791,595,Stable demand,2906,1453,4435,1794,7.611256352,Seed,877,Medium,No Intervention,-9.156895593,2,1,2,3995.207856
Kerala,Ernakulam,Thrippunithura,Tapioca,Tapioca,FAQ,3000,4000,3200,617,476,Government intervention expected,4009,3720,4731,1509,4.164625042,Fertilizer,169,Medium,Stock Release,-1.679665122,2,1,1,3196.645088
Kerala,Ernakulam,Thrippunithura,Tomato,Tomato,FAQ,11500,13000,12000,461,640,Stable demand,1526,1740,5168,543,7.964686347,Seed,218,Medium,Stock Release,-9.643643111,3,1,1,11999.18506
Kerala,Idukki,Adimali,Amaranthus,Amaranthus,FAQ,4000,5000,4000,556,356,Government intervention expected,3551,2769,5864,1047,6.397942422,Seed,426,Low,Price Cap,-5.500665542,1,1,1,3995.029855
Kerala,Idukki,Adimali,Amphophalus,Amphophalus,FAQ,5000,6000,5000,601,642,Government intervention expected,4156,4160,5300,1691,5.221772451,Labor,169,Medium,Price Cap,-2.223550962,1,0,1,4995.408405
Kerala,Idukki,Adimali,Apple,Apple,Large,20000,22000,20000,416,639,Government intervention expected,1930,3380,5777,934,7.600244282,Fertilizer,307,Medium,No Intervention,-7.765882205,3,1,1,19995.98636
Kerala,Idukki,Adimali,Ashgourd,Ashgourd,FAQ,2500,3000,2500,721,502,Government intervention expected,3756,3357,4059,1553,6.974930948,Labor,190,High,Stock Release,-7.71688192,1,1,1,2503.097165
Kerala,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,405,484,Stable demand,3282,3774,5633,1293,5.144825398,Seed,219,Medium,Stock Release,6.541234807,2,1,1,4000.468658
Kerala,Idukki,Adimali,Cluster beans,Cluster Beans,FAQ,8000,12000,10000,457,420,Government intervention expected,2946,2443,6890,856,3.342964861,Fertilizer,306,Medium,Price Cap,-9.171522665,1,0,2,9996.909808
Kerala,Idukki,Adimali,Cowpea(Veg),Cowpea (Veg),FAQ,6000,7000,6000,724,525,Government intervention expected,4927,4680,7446,1771,7.341522873,Fertilizer,505,Medium,Stock Release,3.779324973,2,0,1,5997.644663
Kerala,Idukki,Kattappana,Amla(Nelli Kai),Other,FAQ,2700,3200,2800,717,501,Low supply affecting prices,2286,2748,6451,752,6.825199657,Seed,867,Medium,Price Cap,6.289640987,1,1,1,2801.421787
Kerala,Idukki,Kattappana,Apple,Other,Large,18000,19800,18500,568,629,Government intervention expected,4077,3401,6928,1284,6.953674186,Labor,646,High,Price Cap,-7.385552917,1,1,1,18498.1861
Kerala,Idukki,Kattappana,Apple,Other,Medium,21000,22000,21300,481,662,Stable demand,3541,1823,7764,1220,6.724293664,Seed,223,Medium,No Intervention,-6.09258531,3,0,2,21301.82133
Kerala,Idukki,Kattappana,Ashgourd,Other,FAQ,1600,1900,1700,618,679,Government intervention expected,2916,4171,5137,1905,4.378772447,Fertilizer,211,Medium,Price Cap,2.829866032,3,0,1,1702.782282
Kerala,Idukki,Kattappana,Banana,Nendra Bale,Medium,4800,5200,4800,576,655,High demand due to festival,4360,1144,5518,1236,7.294228598,Fertilizer,306,High,Price Cap,-3.687067745,1,1,2,4798.066244
Kerala,Idukki,Kattappana,Banana,Palayamthodan,Medium,1800,2300,2100,603,515,High demand due to festival,2593,4081,6662,1399,3.011162766,Fertilizer,713,Low,Stock Release,-0.4715385753,2,1,1,2098.665127
Kerala,Idukki,Kattappana,Banana,Poovan,Medium,3500,3900,3800,470,342,Government intervention expected,4728,3006,4335,1942,4.186381392,Seed,485,Low,No Intervention,6.720054166,3,1,1,3795.500742
Kerala,Idukki,Kattappana,Banana,Robusta,Medium,1200,1500,1500,786,674,High demand due to festival,3925,2067,4830,622,3.232797994,Fertilizer,805,High,No Intervention,-7.240336572,3,1,1,1503.197983
Kerala,Idukki,Kattappana,Banana - Green,Other,FAQ,4300,4500,4500,665,322,High demand due to festival,4625,2786,5592,1817,3.552982283,Fertilizer,852,High,No Intervention,2.393050438,3,1,1,4501.060704
Kerala,Idukki,Kattappana,Beetroot,Other,FAQ,3200,3500,3300,497,454,Stable demand,2373,2409,4284,1184,5.661895688,Labor,246,Low,Price Cap,8.847954446,1,1,2,3303.882685
Kerala,Idukki,Kattappana,Bhindi(Ladies Finger),Other,FAQ,3400,3600,3500,744,485,Low supply affecting prices,2223,2762,6176,642,3.18628095,Labor,231,Medium,No Intervention,-8.850667406,2,1,1,3496.889196
Kerala,Idukki,Kattappana,Bitter gourd,Other,FAQ,6500,6800,6800,690,548,High demand due to festival,2959,1909,5915,1502,3.906905239,Fertilizer,831,Low,Price Cap,-8.7998647,2,0,2,6804.606004
Kerala,Idukki,Kattappana,Black pepper,Ungrabled,FAQ,48900,48900,48900,607,536,High demand due to festival,4757,1760,6001,1437,4.163700737,Labor,949,Medium,Price Cap,1.094847452,1,1,2,48902.06736
Kerala,Idukki,Kattappana,Brinjal,Other,FAQ,3400,3500,3500,401,592,Low supply affecting prices,4014,3542,6362,1010,6.276694026,Seed,203,High,Price Cap,9.201515922,2,0,2,3496.966103
Kerala,Idukki,Kattappana,Cabbage,Other,FAQ,2300,2600,2500,523,433,Low supply affecting prices,1965,2516,4959,556,5.344102622,Labor,652,High,Price Cap,-5.590527153,3,0,2,2499.629718
Kerala,Idukki,Kattappana,Capsicum,Other,FAQ,5500,6000,5800,679,620,High demand due to festival,1963,4240,5621,541,5.292062615,Labor,667,High,No Intervention,-3.384160606,2,0,2,5801.989509
Kerala,Idukki,Kattappana,Cardamoms,Other,FAQ,95000,115000,110000,473,689,Government intervention expected,1896,3689,7783,1320,6.842162771,Labor,922,Low,No Intervention,-8.027040509,3,1,1,109995.1697
Kerala,Idukki,Kattappana,Carrot,Other,FAQ,6500,6900,6800,565,321,High demand due to festival,2358,1530,4070,1644,5.28360706,Labor,861,High,Stock Release,-2.755055391,3,0,2,6802.802866
Kerala,Idukki,Kattappana,Cauliflower,Other,FAQ,5500,6000,5800,421,660,Government intervention expected,4678,2359,6392,842,4.742443715,Seed,341,Low,No Intervention,-9.1133504,1,0,1,5804.476803
Kerala,Idukki,Kattappana,Cloves,Other,FAQ,73000,73000,73000,553,387,Government intervention expected,1216,4818,5121,831,7.812255228,Labor,738,Medium,Stock Release,-2.218120045,3,1,2,72995.81496
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,5100,5300,5300,694,452,Government intervention expected,1622,3027,5323,1979,3.041466547,Fertilizer,761,Medium,No Intervention,1.109755499,2,1,2,5303.981178
Kerala,Idukki,Kattappana,Coconut,Big,FAQ,3200,3400,3200,618,424,Low supply affecting prices,1352,4928,6223,1960,4.526965,Labor,430,Medium,No Intervention,9.500096534,2,1,2,3199.644439
Kerala,Idukki,Kattappana,Coconut Oil,Other,FAQ,14500,19000,17500,556,378,High demand due to festival,1691,3560,7816,840,6.046963582,Labor,947,High,No Intervention,6.367759593,2,1,2,17500.15599
Kerala,Idukki,Kattappana,Coffee,Other,FAQ,22000,23100,22500,629,645,High demand due to festival,3722,3177,4883,840,6.91404618,Fertilizer,995,Medium,Price Cap,6.441308216,2,1,1,22503.40108
Kerala,Idukki,Kattappana,Colacasia,Other,FAQ,9000,9800,9500,419,350,Stable demand,1630,2007,5098,1939,7.082064774,Seed,999,High,No Intervention,-5.437113509,2,1,1,9500.896581
Kerala,Idukki,Kattappana,Cowpea(Veg),Other,FAQ,4800,5800,5200,440,515,Low supply affecting prices,3372,4610,4142,1348,3.230365659,Fertilizer,248,Low,No Intervention,-8.255305957,3,1,1,5198.514258
Kerala,Idukki,Kattappana,Cucumbar(Kheera),Other,FAQ,1500,1800,1600,547,475,Stable demand,3948,2537,6978,681,6.545660278,Fertilizer,268,High,Stock Release,2.061494082,1,1,1,1602.325911
Kerala,Idukki,Kattappana,Drumstick,Other,FAQ,3600,3900,3800,507,657,Stable demand,4299,2273,5046,1483,6.601268217,Fertilizer,656,Medium,No Intervention,0.4227639011,1,1,2,3796.383272
Kerala,Idukki,Kattappana,French Beans (Frasbean),Other,FAQ,6500,7300,6800,483,552,Government intervention expected,2168,3781,6228,1787,4.070397107,Fertilizer,183,High,Price Cap,0.3300775316,2,1,1,6801.662751
Kerala,Idukki,Kattappana,Grapes,Black,Medium,7800,8400,8000,766,545,Low supply affecting prices,3355,1946,5068,1733,3.563875142,Labor,619,High,No Intervention,-7.819840276,3,0,1,8002.746238
Kerala,Idukki,Kattappana,Grapes,Green,Medium,10400,10600,10400,721,526,Stable demand,1653,2161,7540,1022,6.748430788,Labor,206,Low,Stock Release,-0.1223021147,1,1,1,10398.3477
Kerala,Idukki,Kattappana,Green Chilli,Other,FAQ,10400,10600,10600,708,405,High demand due to festival,4705,2298,4091,681,4.247500031,Labor,984,High,No Intervention,-6.992885188,2,0,2,10604.70233
Kerala,Idukki,Kattappana,Lemon,Other,FAQ,3500,4000,3800,689,492,Stable demand,3332,2001,7340,1967,3.00836902,Labor,364,Medium,No Intervention,-1.557708126,3,0,1,3801.406019
Kerala,Idukki,Kattappana,Little gourd (Kundru),Other,FAQ,3100,3200,3200,722,615,Low supply affecting prices,1391,3511,6081,750,4.117863018,Seed,757,High,Stock Release,-8.756747347,1,1,2,3195.956787
Kerala,Idukki,Kattappana,Nutmeg,Other,FAQ,33000,33000,33000,533,601,High demand due to festival,4809,3188,4677,637,3.155340044,Labor,130,High,No Intervention,7.137851988,3,1,1,33004.66284
Kerala,Idukki,Kattappana,Onion,Big,FAQ,2300,2500,2500,606,335,High demand due to festival,3407,2967,7653,1741,4.245933433,Labor,855,Medium,Stock Release,-9.736398274,2,1,1,2502.439931
Kerala,Idukki,Kattappana,Onion,Small,FAQ,9500,9800,9800,682,503,High demand due to festival,1768,4327,7435,1250,4.675097912,Seed,646,High,Stock Release,8.786462789,3,1,1,9801.956448
Kerala,Idukki,Kattappana,Pineapple,Other,Large,2700,3400,3200,665,566,Government intervention expected,1796,1881,7779,953,4.357000798,Fertilizer,346,Low,Price Cap,7.257836455,1,0,1,3197.532497
Kerala,Idukki,Kattappana,Potato,Other,FAQ,2300,2500,2400,472,567,High demand due to festival,1931,2847,7204,1382,7.599685336,Labor,629,Medium,Price Cap,5.052161451,1,1,2,2399.731469
Kerala,Idukki,Kattappana,Pumpkin,Other,FAQ,1600,1800,1600,751,469,Government intervention expected,2970,3503,6806,586,4.162664737,Labor,123,Medium,Stock Release,9.651011646,3,0,2,1604.010509
Kerala,Idukki,Kattappana,Snakeguard,Other,FAQ,3600,4300,4000,447,338,Government intervention expected,1164,2975,4381,792,5.337674114,Fertilizer,597,High,Price Cap,-8.923600057,1,0,2,3998.081544
Kerala,Idukki,Kattappana,Tapioca,Other,FAQ,4000,4000,4000,725,438,Stable demand,1732,3481,5703,591,7.787137969,Labor,953,Low,Price Cap,2.831942121,3,1,1,3999.233318
Kerala,Idukki,Kattappana,Tomato,Other,FAQ,10200,10500,10400,632,591,Stable demand,1580,2630,4965,707,7.395997457,Fertilizer,403,Low,Stock Release,6.986041809,3,1,1,10397.56752
Kerala,Idukki,Kattappana,Yam (Ratalu),Other,FAQ,5000,5600,5500,499,351,High demand due to festival,1820,1172,7348,1727,4.546292373,Fertilizer,497,Medium,No Intervention,-7.467658069,2,0,2,5497.159017
Kerala,Kannur,Kannur,Banana - Green,Other,FAQ,4500,5200,4800,458,586,Low supply affecting prices,2247,1472,5179,685,4.632451475,Fertilizer,502,Medium,No Intervention,1.695499573,2,1,1,4795.437151
Kerala,Kannur,Kannur,Black pepper,Other,FAQ,46000,52000,47000,657,588,High demand due to festival,1123,2446,6434,1608,5.966647013,Labor,415,High,No Intervention,-2.121561826,3,1,2,47002.369
Kerala,Kannur,Kannur,Coconut Oil,Other,FAQ,13600,16000,15000,464,440,Stable demand,2971,4067,6582,655,7.589314254,Fertilizer,960,Medium,Price Cap,-1.283457733,1,1,1,14995.90759
Kerala,Kannur,Kannur,Onion,Other,FAQ,2000,2500,2200,482,445,High demand due to festival,1343,3964,6247,792,3.049998977,Labor,377,Low,Price Cap,8.250481708,2,1,2,2200.313242
Kerala,Kannur,Taliparamba,Arecanut(Betelnut/Supari),Other,FAQ,37400,37600,37500,553,613,Stable demand,2874,3486,6322,1032,4.965598961,Seed,641,High,No Intervention,0.7730290055,1,1,2,37495.49795
Kerala,Kannur,Taliparamba,Black pepper,Other,FAQ,46000,48000,47000,665,483,High demand due to festival,1523,4063,4500,660,7.248877432,Fertilizer,242,High,Stock Release,-8.134759103,3,1,2,47004.83877
Kerala,Kannur,Taliparamba,Coconut,Other,FAQ,2200,2400,2300,708,451,Low supply affecting prices,4123,4128,4458,1909,5.052349892,Labor,888,Low,Stock Release,8.744323477,1,1,1,2302.094458
Kerala,Kannur,Taliparamba,Copra,Copra,FAQ,7300,7500,7400,478,500,High demand due to festival,1128,1497,4049,1350,6.600274376,Fertilizer,509,Low,Stock Release,-6.295776589,1,0,1,7401.303846
Kerala,Kannur,Taliparamba,Rubber,Other,FAQ,14000,16000,15000,714,427,Low supply affecting prices,2158,4685,4969,655,6.459624512,Labor,455,Medium,Price Cap,7.852736329,3,1,1,14996.86393
Kerala,Kollam,Anchal,Amaranthus,Other,FAQ,6500,6700,6600,549,586,Low supply affecting prices,3704,3216,7769,642,4.027293548,Labor,623,Low,No Intervention,9.418414422,2,0,1,6600.280541
Kerala,Kollam,Anchal,Ashgourd,Other,FAQ,7500,7700,7600,447,610,High demand due to festival,4198,1988,4987,1807,5.247972522,Seed,302,High,Stock Release,7.556749263,2,0,2,7600.035581
Kerala,Kollam,Anchal,Banana,Nendra Bale,Medium,7600,7800,7700,778,552,Low supply affecting prices,3785,2605,4531,1061,5.830933564,Fertilizer,349,High,No Intervention,3.542675556,1,1,1,7698.586487
Kerala,Kollam,Anchal,Banana,Palayamthodan,Medium,4500,4700,4600,647,565,Low supply affecting prices,3986,4921,5003,534,6.577314676,Labor,202,Low,No Intervention,4.871036396,3,1,2,4596.561119
Kerala,Kollam,Anchal,Banana,Poovan,Medium,5200,5400,5300,677,487,Stable demand,3118,3608,6675,723,7.111948158,Seed,567,Medium,Price Cap,3.997344875,3,1,1,5298.671309
Kerala,Kollam,Anchal,Banana,Red Banana,Medium,6500,6800,6700,755,685,Stable demand,3320,3475,5115,1167,6.799666056,Labor,134,High,Stock Release,-0.7895122429,2,0,2,6701.091041
Kerala,Kollam,Anchal,Banana,Robusta,Medium,2500,2700,2600,497,529,Low supply affecting prices,2210,1418,7932,892,3.141557337,Labor,423,Medium,Price Cap,-4.511605625,3,0,2,2599.873504
Kerala,Kollam,Anchal,Beetroot,Other,FAQ,5500,5700,5600,424,570,Government intervention expected,2026,2370,5479,907,6.353189208,Seed,997,Low,No Intervention,-4.299945401,3,1,1,5600.700442
Kerala,Kollam,Anchal,Bhindi(Ladies Finger),Other,FAQ,6600,6800,6700,683,558,High demand due to festival,2308,4588,4338,1911,5.486577319,Fertilizer,631,Medium,No Intervention,4.623357226,1,1,1,6700.720179
Kerala,Kollam,Anchal,Bitter gourd,Other,FAQ,7800,8000,7900,768,598,Low supply affecting prices,1021,3502,7124,796,5.869308679,Seed,658,High,No Intervention,2.520728966,1,1,2,7897.446748
Kerala,Kollam,Anchal,Bottle gourd,Other,FAQ,3500,3700,3600,700,497,High demand due to festival,1165,1713,7567,822,4.864831064,Fertilizer,695,Low,Stock Release,1.697680679,2,1,2,3596.109752
Kerala,Kollam,Anchal,Brinjal,Brinjal,FAQ,6200,6400,6300,467,622,Stable demand,2333,3249,5658,538,6.570131073,Labor,367,High,Stock Release,3.052176758,2,0,1,6300.217514
Kerala,Kollam,Anchal,Cabbage,Other,FAQ,5800,6000,5900,406,355,High demand due to festival,3922,1178,5876,1004,6.369442561,Labor,152,High,Stock Release,5.495724709,1,0,2,5903.923722
Kerala,Kollam,Anchal,Capsicum,Capsicum,FAQ,7800,8000,7900,704,618,Low supply affecting prices,2500,3104,5873,1252,5.897432407,Seed,884,Low,No Intervention,4.966818293,3,0,2,7904.95366
Kerala,Kollam,Anchal,Carrot,Carrot,FAQ,8700,8900,8800,536,502,Low supply affecting prices,1497,4769,7848,1839,7.308027663,Seed,117,Medium,No Intervention,-7.892071884,3,0,2,8802.858996
Kerala,Kollam,Anchal,Cauliflower,Cauliflower,FAQ,5300,5500,5400,563,570,Low supply affecting prices,1433,4675,6051,1640,3.509500124,Seed,203,Low,Stock Release,-2.739299006,1,0,1,5397.211168
Kerala,Kollam,Anchal,Coconut,Other,FAQ,5400,5600,5500,482,408,Low supply affecting prices,3805,4875,5704,1865,4.50511638,Labor,251,High,No Intervention,-4.720657264,1,1,1,5501.303234
Kerala,Kollam,Anchal,Colacasia,Other,FAQ,4400,4600,4500,784,415,Government intervention expected,3281,2929,4280,739,5.475652076,Fertilizer,939,High,No Intervention,0.7647732445,1,0,1,4497.388664
Kerala,Kollam,Anchal,Cucumbar(Kheera),Other,FAQ,3600,3800,3700,537,391,Government intervention expected,1836,1945,5313,1186,7.793024056,Seed,776,High,No Intervention,-8.771678353,1,1,2,3700.764523
Kerala,Kollam,Anchal,Elephant Yam (Suran),Other,FAQ,4000,4200,4100,472,437,Government intervention expected,2693,3018,6120,1968,3.359816931,Fertilizer,972,Low,Stock Release,5.24928095,3,0,2,4099.80688
